36.72955598,    127.44082475
36.72955776,    127.44082442
36.72955952,    127.44082409
36.72956129,    127.44082377
36.72956306,    127.44082345
36.72956484,    127.44082312
36.7295666, 127.4408228
36.72956836,    127.44082249
36.72957012,    127.44082217
36.72957187,    127.44082186
36.72957362,    127.44082155
36.72957538,    127.44082125
36.72957714,    127.44082094
36.72957891,    127.44082064
36.72958067,    127.44082036
36.72958243,    127.44082008
36.72958421,    127.44081977
36.72958598,    127.44081945
36.72958776,    127.44081914
36.72958954,    127.44081884
36.72959131,    127.44081854
36.72959308,    127.44081824
36.72959484,    127.44081793
36.72959659,    127.44081763
36.72959838,    127.44081735
36.72960015,    127.44081706
36.72960191,    127.44081673
36.72960367,    127.44081642
36.72960544,    127.44081616
36.72960722,    127.44081589
36.72960898,    127.4408156
36.72961075,    127.44081528
36.72961252,    127.44081491
36.72961428,    127.44081457
36.72961604,    127.44081427
36.72961781,    127.44081397
36.72961957,    127.44081367
36.72962134,    127.44081337
36.72962312,    127.44081306
36.72962489,    127.44081275
36.72962667,    127.44081245
36.72962844,    127.44081214
36.72963022,    127.44081183
36.72963198,    127.44081152
36.72963376,    127.44081121
36.72963555,    127.4408109
36.72963732,    127.4408106
36.72963907,    127.44081029
36.72964085,    127.44080997
36.72964261,    127.44080966
36.72964438,    127.44080935
36.72964614,    127.44080904
36.72964789,    127.44080872
36.72964966,    127.44080841
36.72965143,    127.44080811
36.72965319,    127.4408078
36.72965497,    127.44080749
36.72965675,    127.44080718
36.72965853,    127.44080686
36.7296603, 127.4408066
36.72966206,    127.44080635
36.72966381,    127.44080603
36.72966558,    127.44080564
36.72966734,    127.44080532
36.72966911,    127.44080503
36.72967087,    127.44080473
36.72967262,    127.44080442
36.72967439,    127.44080412
36.72967616,    127.44080382
36.72967792,    127.44080352
36.72967968,    127.44080322
36.72968144,    127.44080291
36.72968319,    127.44080261
36.72968498,    127.44080231
36.72968674,    127.44080201
36.72968851,    127.44080171
36.72969028,    127.44080141
36.72969206,    127.44080111
36.72969382,    127.44080081
36.72969559,    127.4408005
36.72969737,    127.44080021
36.72969913,    127.44080001
36.72970091,    127.44079976
36.72970266,    127.44079937
36.72970442,    127.44079901
36.72970619,    127.44079872
36.72970798,    127.44079842
36.72970973,    127.44079812
36.72971152,    127.44079782
36.72971329,    127.44079752
36.72971508,    127.44079722
36.72971683,    127.44079692
36.72971861,    127.44079662
36.72972039,    127.44079632
36.72972214,    127.44079603
36.72972393,    127.44079572
36.7297257, 127.44079542
36.72972745,    127.44079513
36.72972922,    127.44079482
36.72973098,    127.44079453
36.72973275,    127.44079433
36.72973453,    127.44079416
36.72973629,    127.4407938
36.72973802,    127.44079332
36.72973981,    127.440793
36.72974157,    127.44079272
36.72974335,    127.44079241
36.72974511,    127.44079211
36.72974689,    127.4407918
36.72974867,    127.4407915
36.72975042,    127.44079119
36.72975219,    127.44079089
36.72975396,    127.44079059
36.72975572,    127.44079028
36.72975751,    127.44078998
36.72975926,    127.44078967
36.72976102,    127.44078937
36.72976281,    127.44078905
36.72976459,    127.44078872
36.72976638,    127.44078847
36.72976813,    127.44078826
36.72976989,    127.44078795
36.72977166,    127.44078755
36.72977343,    127.44078723
36.7297752, 127.44078694
36.72977696,    127.4407867
36.72977873,    127.44078647
36.72978048,    127.4407861
36.72978222,    127.44078568
36.729784,  127.44078535
36.72978578,    127.44078505
36.72978757,    127.4407848
36.72978936,    127.44078455
36.72979114,    127.44078423
36.72979288,    127.4407839
36.72979463,    127.44078355
36.72979641,    127.44078321
36.72979817,    127.4407829
36.72979994,    127.4407826
36.7298017, 127.4407823
36.72980348,    127.44078199
36.72980526,    127.44078168
36.72980703,    127.44078138
36.7298088, 127.44078108
36.72981056,    127.44078077
36.72981234,    127.44078047
36.7298141, 127.44078017
36.72981588,    127.44077986
36.72981767,    127.44077955
36.72981945,    127.44077924
36.72982123,    127.44077892
36.729823,  127.4407786
36.72982478,    127.44077836
36.72982656,    127.44077817
36.72982831,    127.44077785
36.72983006,    127.44077742
36.72983182,    127.44077708
36.72983361,    127.44077679
36.72983538,    127.44077648
36.72983714,    127.44077618
36.72983889,    127.44077587
36.72984065,    127.44077557
36.72984243,    127.44077526
36.72984421,    127.44077495
36.72984598,    127.44077461
36.72984776,    127.4407743
36.72984952,    127.44077415
36.7298513, 127.44077399
36.72985307,    127.44077356
36.72985479,    127.44077309
36.72985656,    127.44077279
36.72985833,    127.44077254
36.72986009,    127.44077229
36.72986184,    127.440772
36.72986361,    127.44077161
36.72986538,    127.44077123
36.72986716,    127.44077093
36.72986894,    127.44077061
36.7298707, 127.4407703
36.72987247,    127.44076999
36.72987424,    127.44076968
36.72987602,    127.44076936
36.72987778,    127.44076905
36.72987954,    127.44076875
36.7298813, 127.44076844
36.72988307,    127.44076813
36.72988485,    127.44076782
36.72988661,    127.44076751
36.72988839,    127.4407672
36.72989017,    127.44076689
36.72989193,    127.44076658
36.72989372,    127.44076627
36.72989549,    127.44076596
36.72989725,    127.44076565
36.72989902,    127.44076534
36.7299008, 127.44076503
36.72990256,    127.44076473
36.72990432,    127.44076442
36.7299061, 127.44076412
36.72990786,    127.44076381
36.72990962,    127.44076351
36.72991138,    127.4407632
36.72991315,    127.4407629
36.72991491,    127.4407626
36.72991666,    127.44076228
36.72991843,    127.44076197
36.72992022,    127.44076174
36.72992201,    127.44076154
36.72992377,    127.4407612
36.72992551,    127.44076077
36.72992728,    127.44076045
36.72992906,    127.44076017
36.72993081,    127.44075988
36.7299326, 127.44075957
36.72993435,    127.44075927
